fsid	fsid-base	years
sub-01_ses-001	sub-01	0.0
sub-01_ses-002	sub-01	0.3506849315068493
sub-01_ses-003	sub-01	1.610958904109589
sub-01_ses-004	sub-01	1.884931506849315
sub-01_ses-005	sub-01	2.1726027397260275
sub-01_ses-006	sub-01	2.421917808219178
sub-01_ses-007	sub-01	2.786301369863014
sub-01_ses-008	sub-01	3.0931506849315067
sub-01_ses-009	sub-01	3.361643835616438
sub-01_ses-010	sub-01	3.6301369863013697
sub-01_ses-011	sub-01	3.8986301369863012
sub-01_ses-012	sub-01	4.178082191780822
sub-01_ses-013	sub-01	4.473972602739726
sub-02_ses-001	sub-02	0.0
sub-02_ses-002	sub-02	0.6520547945205479
sub-02_ses-003	sub-02	0.9753424657534246
sub-02_ses-004	sub-02	1.5506849315068494
sub-02_ses-005	sub-02	1.832876712328767
sub-02_ses-006	sub-02	2.1123287671232878
sub-02_ses-007	sub-02	2.3835616438356166
sub-02_ses-008	sub-02	2.745205479452055
sub-02_ses-009	sub-02	2.978082191780822
sub-02_ses-010	sub-02	3.202739726027397
sub-02_ses-011	sub-02	3.6027397260273974
sub-02_ses-012	sub-02	3.852054794520548
sub-02_ses-013	sub-02	4.117808219178082
sub-02_ses-014	sub-02	4.410958904109589
sub-03_ses-001	sub-03	0.0
sub-03_ses-002	sub-03	0.1726027397260274
sub-03_ses-003	sub-03	0.7479452054794521
sub-03_ses-004	sub-03	1.6246575342465754
sub-03_ses-005	sub-03	1.9095890410958904
sub-03_ses-006	sub-03	2.186301369863014
sub-03_ses-007	sub-03	2.493150684931507
sub-03_ses-008	sub-03	2.7424657534246575
sub-03_ses-009	sub-03	3.0082191780821916
sub-03_ses-010	sub-03	3.254794520547945
sub-03_ses-011	sub-03	3.643835616438356
sub-03_ses-012	sub-03	3.8876712328767122
sub-03_ses-013	sub-03	4.1945205479452055
sub-03_ses-014	sub-03	4.487671232876712
sub-04_ses-001	sub-04	0.0
sub-04_ses-002	sub-04	0.5123287671232877
sub-04_ses-003	sub-04	1.095890410958904
sub-04_ses-004	sub-04	1.378082191780822
sub-04_ses-005	sub-04	1.6356164383561644
sub-05_ses-001	sub-05	0.0
sub-05_ses-002	sub-05	1.5671232876712329
sub-05_ses-003	sub-05	1.9342465753424658
sub-05_ses-004	sub-05	2.2356164383561645
sub-05_ses-005	sub-05	2.4465753424657533
sub-05_ses-006	sub-05	2.6575342465753424
sub-05_ses-007	sub-05	2.9835616438356163
sub-05_ses-008	sub-05	3.249315068493151
sub-05_ses-009	sub-05	3.5178082191780824
sub-05_ses-010	sub-05	3.756164383561644
sub-05_ses-011	sub-05	4.057534246575343
sub-05_ses-012	sub-05	4.3342465753424655
sub-06_ses-001	sub-06	0.0
sub-06_ses-002	sub-06	0.13150684931506848
sub-06_ses-003	sub-06	0.4958904109589041
sub-06_ses-004	sub-06	1.115068493150685
sub-06_ses-005	sub-06	1.3041095890410959
sub-06_ses-006	sub-06	1.6356164383561644
sub-06_ses-007	sub-06	1.884931506849315
sub-06_ses-008	sub-06	2.1342465753424658
sub-06_ses-009	sub-06	2.665753424657534
sub-06_ses-010	sub-06	2.9424657534246577
sub-06_ses-011	sub-06	3.191780821917808
sub-06_ses-012	sub-06	3.695890410958904
sub-06_ses-013	sub-06	3.9972602739726026
